id,twitter_id,handles,degree_range,snapshot_range
230,4694994379,"DimKampourakis",1249-1782,"1-48"
231,105000893,"panosharitos",19797-30030,"1-48"
232,22310233,"EVenizelos, EVENIZELOS",112928-136429,"1-48"
233,25584888,"protothema",243417-371067,"1-48"
234,632868099,"kat_markou",2638-3432,"1-48"
235,350390941,"tasoskourakis",3768-4024,"1-48"
236,805151138,"k_karagounis",2050-2383,"1-48"
237,1701576919,"andreasxanthos",4989-11111,"1-48"
238,908986210240081921,"DQw43I6dBIyzh21",187-503,"1-48"
239,24888661,"kportocali",4011-4121,"1-48"
240,2892644871,"npanagioto",2222-28813,"1-48"
241,633098410,"GKoumoutsakos",19150-32366,"1-48"
242,353872263,"gnomikilkis, GNOMIKILKIS",353-450,"1-48"
243,351796925,"Onnewsgr",1179-1318,"1-48"
244,4126380982,"xarakefalidou",575-2628,"1-48"
245,4031768219,"dimitrisvitsas",236-1590,"1-48"
246,538154104,"axiaplus",2181-5318,"1-48"
247,1464816818,"giorgoskouris, GiorgosKouris",375-435,"1-48"
248,2975032769,"tsakalotos",32752-45248,"1-48"
249,76015405,"zougla_online",38858-69363,"1-48"
250,1474143228,"KremastinosD",2628-2751,"1-48"
251,70340615,"AdonisGeorgiadi",206326-297783,"1-48"
252,3221256604,"pesotithes",152-163,"1-48"
253,414287765,"kouroumplis",7130-9096,"1-48"
254,373909732,"enikos_gr",361043-424819,"1-48"
255,1118794735,"imerisiagr",12894-20923,"1-48"
256,27931380,"athensvoice, AthensVoice",260422-317819,"1-48"
257,2963751815,"mtheleriti",401-793,"1-48"
258,306096352,"eloragr",377-396,"1-48"
259,403331236,"nikospappas16",68899-88668,"1-48"
260,1413019669,"cbgialas",24-231,"1-48"
261,197393149,"karameros",25257-26660,"1-48"
262,706861538,"ipanagiotaros",6475-8077,"1-29"
263,189543224,"katohikanea",7338-7584,"1-48"
264,560852528,"a_vesiropoulos",313-874,"1-48"
265,397202986,"NikosEvagelatos, nikosevagelatos",65592-71415,"1-48"
266,104543713,"edromos",6003-6923,"1-48"
267,295036246,"NEAKERATSINIOU",1436-1485,"1-48"
268,2427879955,"sia_anag",2037-3781,"1-48"
269,2969679155,"nikosfilis1",7481-8765,"1-48"
270,758622915965444096,"c_spirtzis",2908-13443,"1-48"
271,118664394,"parapolitika",47155-88111,"1-48"
272,358859825,"christina_korai",24474-35621,"1-48"
273,596557379,"LARISSANETGR",2640-3634,"1-48"
274,3063865762,"IasonFotilas",3156-4976,"1-48"
275,4178705584,"kostasbarkas",1476-8469,"1-48"
276,301531998,"SiaKossioni, siakossioni",253457-260857,"1-26"
