Algorithm,Dimensions,resolution,# of clusters,Duration,Accuracy,F1-micro,F1-macro,MutualInformation,NormalizedMutualInformation,Modularity,Performance,Coverage
Louvain,-,1.05,4,5 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.051,4,6 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.052,4,7 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.053,4,6 sec,0.9669,0.9669,0.776,1.0126,0.9308,0.1518,0.4207,0.4168
Louvain,-,1.054,4,5 sec,0.9665,0.9665,0.776,1.0126,0.9298,0.1518,0.4202,0.4163
Louvain,-,1.055,4,7 sec,0.9665,0.9665,0.776,1.0126,0.9298,0.1518,0.4202,0.4163
Louvain,-,1.056,4,6 sec,0.9665,0.9665,0.776,1.0126,0.9298,0.1518,0.4202,0.4163
Louvain,-,1.057,4,6 sec,0.9665,0.9665,0.776,1.0126,0.9298,0.1518,0.4202,0.4163
Louvain,-,1.058,4,5 sec,0.9665,0.9665,0.776,1.0126,0.9298,0.1518,0.4202,0.4163
Louvain,-,1.059,4,5 sec,0.9665,0.9665,0.776,1.0126,0.9298,0.1518,0.4202,0.4163
Louvain,-,1.06,4,5 sec,0.9665,0.9665,0.776,1.0126,0.9298,0.1518,0.4202,0.4163
